year,month,hemisphere,extent_average
1989,4,north,14.3284
1989,4,south,6.306266667
1989,5,north,13.04412903
1989,5,south,10.29716129
1989,6,north,12.24453333
1989,6,south,13.58043333
1989,7,north,10.12970968
1989,7,south,15.71058065
1989,8,north,7.881774194
1989,8,south,17.46564516
1989,9,north,7.008333333
1989,9,south,18.12106667
1989,10,north,8.828903226
1989,10,south,17.85609677
1989,11,north,11.11523333
1989,11,south,15.73343333
1989,12,north,13.38680645
1989,12,south,9.837516129
1990,1,north,14.7826129
1990,1,south,4.867387097
1990,2,north,15.57821429
1990,2,south,3.036178571
1990,3,north,15.86674194
1990,3,south,3.965967742
1990,4,north,14.65006667
1990,4,south,6.999866667
1990,5,north,13.22583871
1990,5,south,9.715451613
1990,6,north,11.64056667
1990,6,south,13.0829
1990,7,north,9.246612903
1990,7,south,15.57093548
1990,8,north,6.797483871
1990,8,south,17.56745161
1990,9,north,6.1428
1990,9,south,18.193
1990,10,north,8.484935484
1990,10,south,17.94532258
1990,11,north,11.0752
1990,11,south,15.4683
1990,12,north,13.10554839
1990,12,south,9.953516129
1991,1,north,14.36380645
1991,1,south,5.338258065
1991,2,north,15.24939286
1991,2,south,3.161107143
1991,3,north,15.41612903
1991,3,south,3.80683871
1991,4,north,14.85973333
1991,4,south,7.053466667
1991,5,north,13.47312903
1991,5,south,10.27945161
1991,6,north,12.10803333
1991,6,south,13.06566667
1991,7,north,9.514032258
1991,7,south,15.55041935
1991,8,north,7.415354839
1991,8,south,17.71896774
1991,9,north,6.4729
1991,9,south,18.3126
1991,10,north,8.541419355
1991,10,south,17.91729032
1991,11,north,10.8846
1991,11,south,15.58353333
1991,12,north,12.94509677
1991,12,south,10.19232258
1992,1,north,14.64267742
1992,1,south,4.748870968
1992,2,north,15.46210345
1992,2,south,2.83737931
1992,3,north,15.48112903
1992,3,south,3.573290323
1992,4,north,14.6769
1992,4,south,6.7941
1992,5,north,13.21554839
1992,5,south,9.924774194
1992,6,north,12.14676667
1992,6,south,12.8085
1992,7,north,10.32312903
1992,7,south,15.89441935
1992,8,north,7.925258065
1992,8,south,17.72703226
1992,9,north,7.4737
1992,9,south,18.1472
1992,10,north,9.319516129
1992,10,south,17.93396774
1992,11,north,11.37866667
1992,11,south,15.8955
1992,12,north,13.4073871
1992,12,south,10.20574194
1993,1,north,14.89606452
1993,1,south,4.409387097
1993,2,north,15.68564286
1993,2,south,2.482178571
1993,3,north,15.81316129
1993,3,south,3.668193548
1993,4,north,15.0772
1993,4,south,6.6516
1993,5,north,13.36822581
1993,5,south,10.10377419
1993,6,north,11.8709
1993,6,south,13.14716667
1993,7,north,9.476354839
1993,7,south,15.85487097
1993,8,north,7.335
1993,8,south,17.49177419
1993,9,north,6.396666667
1993,9,south,18.5432
1993,10,north,8.786129032
1993,10,south,18.12754839
1993,11,north,11.31873333
1993,11,south,16.04206667
1993,12,north,13.31896774
1993,12,south,9.933354839
1994,1,north,14.72977419
1994,1,south,4.965709677
1994,2,north,15.56189286
1994,2,south,3.197535714
1994,3,north,15.5536129
1994,3,south,4.549354839
1994,4,north,14.88803333
1994,4,south,7.221566667
1994,5,north,13.6243871
1994,5,south,10.408
1994,6,north,12.0164
1994,6,south,13.56013333
1994,7,north,9.92516129
1994,7,south,16.29596774
1994,8,north,7.639290323
1994,8,south,17.83958065
1994,9,north,7.1376
1994,9,south,18.61263333
1994,10,north,8.915290323
1994,10,south,18.09006452
1994,11,north,11.1232
1994,11,south,15.88043333
1994,12,north,13.27187097
1994,12,south,10.10051613
1995,1,north,14.5863871
1995,1,south,5.636
1995,2,north,15.22567857
1995,2,south,3.560785714
1995,3,north,15.26016129
1995,3,south,4.626419355
1995,4,north,14.4486
1995,4,south,7.267633333
1995,5,north,12.97206452
1995,5,south,10.41548387
1995,6,north,11.44043333
1995,6,south,13.28986667
1995,7,north,8.987096774
1995,7,south,15.74387097
1995,8,north,6.744354839
1995,8,south,17.78019355
1995,9,north,6.080133333
1995,9,south,18.37273333
1995,10,north,7.828935484
1995,10,south,18.02964516
1995,11,north,10.76086667
1995,11,south,15.63393333
1995,12,north,12.92083871
1995,12,south,10.62190323
1996,1,north,14.18087097
1996,1,south,5.871129032
1996,2,north,15.15482759
1996,2,south,2.984586207
1996,3,north,15.12280645
1996,3,south,4.183483871
1996,4,north,14.21586667
1996,4,south,7.279933333
1996,5,north,13.09454839
1996,5,south,10.91674194
1996,6,north,12.08383333
1996,6,south,13.87036667
1996,7,north,10.16425806
1996,7,south,16.11967742
1996,8,north,8.180451613
1996,8,south,17.7413871
1996,9,north,7.582533333
1996,9,south,18.6316
1996,10,north,9.160967742
1996,10,south,17.96454839
1996,11,north,10.4017
1996,11,south,15.7179
1996,12,north,12.86125806
1996,12,south,9.65316129
1997,1,north,14.41748387
1997,1,south,4.197258065
1997,2,north,15.43671429
1997,2,south,2.489535714
1997,3,north,15.46751613
1997,3,south,3.457387097
1997,4,north,14.56303333
1997,4,south,6.492333333
1997,5,north,13.17716129
1997,5,south,10.12396774
1997,6,north,11.73836667
1997,6,south,13.11603333
1997,7,north,9.41083871
1997,7,south,15.92067742
1997,8,north,7.285032258
1997,8,south,17.68435484
1997,9,north,6.686333333
1997,9,south,18.59643333
1997,10,north,8.336548387
1997,10,south,17.9933871
1997,11,north,10.68416667
1997,11,south,15.73276667
1997,12,north,13.07619355
1997,12,south,10.2853871
1998,1,north,14.72051613
1998,1,south,4.464903226
1998,2,north,15.74582143
1998,2,south,2.989571429
1998,3,north,15.59809677
1998,3,south,4.107483871
1998,4,north,14.89193333
1998,4,south,6.853833333
1998,5,north,13.58983871
1998,5,south,10.32845161
1998,6,north,11.7057
1998,6,south,13.31323333
1998,7,north,9.41516129
1998,7,south,15.96267742
1998,8,north,7.508870968
1998,8,south,17.88135484
1998,9,north,6.536033333
1998,9,south,18.9035
1998,10,north,8.451870968
1998,10,south,18.66045161
1998,11,north,10.4406
1998,11,south,16.3004
1998,12,north,12.75864516
1998,12,south,10.51948387
1999,1,north,14.3593871
1999,1,south,4.815870968
1999,2,north,15.30892857
1999,2,south,2.966
1999,3,north,15.39767742
1999,3,south,3.977774194
1999,4,north,15.0839
1999,4,south,6.8918
1999,5,north,13.75096774
1999,5,south,10.26532258
1999,6,north,11.77916667
1999,6,south,13.64883333
1999,7,north,9.488290323
1999,7,south,16.2816129
1999,8,north,7.225580645
1999,8,south,17.95790323
1999,9,north,6.116866667
1999,9,south,18.69636667
1999,10,north,8.602806452
1999,10,south,18.35216129
1999,11,north,10.79646667
1999,11,south,15.9646
1999,12,north,12.64119355
1999,12,south,10.72203226
2000,1,north,14.22035484
2000,1,south,4.748870968
2000,2,north,15.14148276
2000,2,south,2.906517241
2000,3,north,15.22483871
2000,3,south,4.085870968
2000,4,north,14.55816667
2000,4,south,7.1323
2000,5,north,13.15267742
2000,5,south,10.92058065
2000,6,north,11.66523333
2000,6,south,13.8927
2000,7,north,9.513
2000,7,south,16.09774194
2000,8,north,7.168322581
2000,8,south,18.20612903
2000,9,north,6.246066667
2000,9,south,18.88783333
2000,10,north,8.379419355
2000,10,south,18.13051613
2000,11,north,10.3211
2000,11,south,15.75763333
2000,12,north,12.63725806
2000,12,south,9.909709677
2001,1,north,14.2026129
2001,1,south,5.233096774
2001,2,north,15.21114286
2001,2,south,3.650357143
2001,3,north,15.51632258
2001,3,south,4.731451613
2001,4,north,14.85683333
2001,4,south,7.044266667
2001,5,north,13.5096129
2001,5,south,10.32990323
2001,6,north,11.45593333
2001,6,south,13.41806667
2001,7,north,9.070354839
2001,7,south,15.85187097
2001,8,north,7.460806452
2001,8,south,17.42274194
2001,9,north,6.732166667
2001,9,south,18.17496667
2001,10,north,8.298290323
2001,10,south,17.726
2001,11,north,10.65783333
2001,11,south,15.6103
2001,12,north,12.49074194
2001,12,south,10.34590323
2002,1,north,14.2726129
2002,1,south,4.739612903
2002,2,north,15.34235714
2002,2,south,2.960392857
2002,3,north,15.34890323
2002,3,south,3.748258065
2002,4,north,14.29943333
2002,4,south,6.327833333
2002,5,north,12.9706129
2002,5,south,9.511548387
2002,6,north,11.5834
2002,6,south,12.37576667
2002,7,north,9.27416129
2002,7,south,15.41470968
2002,8,north,6.599
2002,8,south,17.06667742
2002,9,north,5.827133333
2002,9,south,17.88736667
2002,10,north,8.161903226
2002,10,south,17.86577419
2002,11,north,10.34186667
2002,11,south,15.40583333
2002,12,north,12.60845161
2002,12,south,10.78541935
2003,1,north,14.39083871
2003,1,south,5.772709677
2003,2,north,15.19314286
2003,2,south,3.788571429
2003,3,north,15.48490323
2003,3,south,4.444354839
2003,4,north,14.51206667
2003,4,south,7.208266667
2003,5,north,13.01606452
2003,5,south,10.73580645
2003,6,north,11.60403333
2003,6,south,13.98536667
2003,7,north,9.214774194
2003,7,south,16.40196774
2003,8,north,6.935870968
2003,8,south,17.58248387
2003,9,north,6.1161
2003,9,south,18.2983
2003,10,north,7.848290323
2003,10,south,18.198
2003,11,north,10.12533333
2003,11,south,16.10953333
2003,12,north,12.58835484
2003,12,south,10.56358065
2004,1,north,14.02641935
2004,1,south,5.590516129
2004,2,north,14.91437931
2004,2,south,3.583551724
2004,3,north,14.99258065
2004,3,south,4.526193548
2004,4,north,13.98733333
2004,4,south,7.279766667
2004,5,north,12.55841935
2004,5,south,10.47003226
2004,6,north,11.44706667
2004,6,south,13.78
2004,7,north,9.431354839
2004,7,south,16.33251613
2004,8,north,6.85483871
2004,8,south,18.01006452
2004,9,north,5.9845
2004,9,south,18.91923333
2004,10,north,7.925290323
2004,10,south,18.45693548
2004,11,north,10.34326667
2004,11,south,16.08483333
2004,12,north,12.55358065
2004,12,south,10.22890323
2005,1,north,13.66145161
2005,1,south,4.75183871
2005,2,north,14.37285714
2005,2,south,2.969607143
2005,3,north,14.6866129
2005,3,south,4.081612903
2005,4,north,14.08983333
2005,4,south,7.031966667
2005,5,north,12.91109677
2005,5,south,10.28880645
2005,6,north,11.16203333
2005,6,south,13.2915
2005,7,north,8.648741935
2005,7,south,16.15783871
2005,8,north,6.301129032
2005,8,south,17.92248387
2005,9,north,5.503766667
2005,9,south,18.8048
2005,10,north,7.351967742
2005,10,south,18.47680645
2005,11,north,10.21633333
2005,11,south,16.31616667
2005,12,north,12.2276129
2005,12,south,9.680258065
2006,1,north,13.46558065
2006,1,south,4.163548387
2006,2,north,14.32496429
2006,2,south,2.651392857
2006,3,north,14.42096774
2006,3,south,3.214612903
2006,4,north,13.90586667
2006,4,south,6.0104
2006,5,north,12.51735484
2006,5,south,9.456258065
2006,6,north,10.9195
2006,6,south,13.34476667
2006,7,north,8.45983871
2006,7,south,16.11412903
2006,8,north,6.495612903
2006,8,south,18.09764516
2006,9,north,5.862433333
2006,9,south,19.0941
2006,10,north,7.541096774
2006,10,south,18.7326129
2006,11,north,9.658733333
2006,11,south,16.22983333
2006,12,north,11.95467742
2006,12,south,9.854129032
2007,1,north,13.70303226
2007,1,south,4.672580645
2007,2,north,14.51325
2007,2,south,2.904607143
2007,3,north,14.54209677
2007,3,south,3.834806452
2007,4,north,13.8452
2007,4,south,6.418266667
2007,5,north,12.77967742
2007,5,south,9.647806452
2007,6,north,11.22006667
2007,6,south,13.2873
2007,7,north,7.94283871
2007,7,south,15.95577419
2007,8,north,5.342322581
2007,8,south,17.68190323
2007,9,north,4.267266667
2007,9,south,18.86063333
2007,10,north,6.039709677
2007,10,south,18.50774194
2007,11,north,9.760166667
2007,11,south,15.89213333
2007,12,north,12.03396774
2007,12,south,11.98051613
2008,1,north,13.88725806
2008,1,south,6.413709677
2008,2,north,14.95344828
2008,2,south,3.894517241
2008,3,north,15.17890323
2008,3,south,5.284451613
2008,4,north,14.35193333
2008,4,south,8.2423
2008,5,north,12.974
2008,5,south,11.04935484
2008,6,north,11.20833333
2008,6,south,14.06166667
2008,7,north,8.677935484
2008,7,south,16.09483871
2008,8,north,5.913064516
2008,8,south,17.64451613
2008,9,north,4.687433333
2008,9,south,18.14503333
2008,10,north,7.349870968
2008,10,south,17.99390323
2008,11,north,10.34286667
2008,11,south,16.24813333
2008,12,north,12.35848387
2008,12,south,11.51174194
2009,1,north,13.91370968
2009,1,south,5.707354839
2009,2,north,14.81153571
2009,2,south,2.990571429
2009,3,north,14.9836129
2009,3,south,4.441064516
2009,4,north,14.49563333
2009,4,south,7.7985
2009,5,north,13.18670968
2009,5,south,10.92574194
2009,6,north,11.32026667
2009,6,south,13.90746667
2009,7,north,8.465451613
2009,7,south,16.26132258
2009,8,north,6.135741935
2009,8,south,18.09780645
2009,9,north,5.261633333
2009,9,south,18.96046667
2009,10,north,6.920322581
2009,10,south,18.29822581
2009,11,north,9.771733333
2009,11,south,15.84783333
2009,12,north,12.19987097
2009,12,south,10.73854839
2010,1,north,13.73906452
2010,1,south,4.958096774
2010,2,north,14.58142857
2010,2,south,3.1055
2010,3,north,15.13670968
2010,3,south,3.846741935
2010,4,north,14.65873333
2010,4,south,6.715433333
2010,5,north,12.86609677
2010,5,south,10.63925806
2010,6,north,10.5851
2010,6,south,14.4102
2010,7,north,8.074677419
2010,7,south,16.92132258
2010,8,north,5.874903226
2010,8,south,18.60706452
2010,9,north,4.865066667
2010,9,south,18.7986
2010,10,north,6.983903226
2010,10,south,18.64832258
2010,11,north,9.613966667
2010,11,south,16.7549
2010,12,north,11.83083871
2010,12,south,11.27116129
2011,1,north,13.46396774
2011,1,south,4.511709677
2011,2,north,14.36303571
2011,2,south,2.519071429
2011,3,north,14.54651613
2011,3,south,3.36783871
2011,4,north,14.1078
2011,4,south,6.0966
2011,5,north,12.68077419
2011,5,south,10.09274194
2011,6,north,10.74866667
2011,6,south,13.3333
2011,7,north,7.724387097
2011,7,south,15.75254839
2011,8,north,5.502451613
2011,8,south,17.80545161
2011,9,north,4.561333333
2011,9,south,18.73923333
2011,10,north,6.464548387
2011,10,south,18.21848387
2011,11,north,9.7718
2011,11,south,15.75736667
2011,12,north,12.15358065
2011,12,south,11.19896774
2012,1,north,13.72941935
2012,1,south,5.653870968
2012,2,north,14.55334483
2012,2,south,3.553241379
2012,3,north,15.19625806
2012,3,south,4.550258065
2012,4,north,14.62576667
2012,4,south,7.309233333
2012,5,north,13.01180645
2012,5,south,10.457
2012,6,north,10.67453333
2012,6,south,13.54666667
2012,7,north,7.671774194
2012,7,south,16.298
2012,8,north,4.723290323
2012,8,south,18.09696774
2012,9,north,3.5656
2012,9,south,19.20783333
2012,10,north,5.885870968
2012,10,south,18.59387097
2012,11,north,9.387966667
2012,11,south,16.10993333
2012,12,north,12.0063871
2012,12,south,10.39422581
2013,1,north,13.70264516
2013,1,south,5.543290323
2013,2,north,14.72353571
2013,2,south,3.836428571
2013,3,north,15.03203226
2013,3,south,5.017387097
2013,4,north,14.29873333
2013,4,south,7.622633333
2013,5,north,12.99725806
2013,5,south,10.91974194
2013,6,north,11.36013333
2013,6,south,14.15483333
2013,7,north,8.131677419
2013,7,south,16.80854839
2013,8,north,6.013516129
2013,8,south,18.66377419
2013,9,north,5.208266667
2013,9,south,19.38866667
2013,10,north,7.45483871
2013,10,south,19.01777419
2013,11,north,9.939033333
2013,11,south,16.87216667
2013,12,north,12.18425806
2013,12,south,11.85358065
2014,1,north,13.64748387
2014,1,south,6.326806452
2014,2,north,14.41757143
2014,2,south,3.843
2014,3,north,14.75751613
2014,3,south,4.901516129
2014,4,north,14.08786667
2014,4,south,8.343
2014,5,north,12.70070968
2014,5,south,11.51935484
2014,6,north,11.0326
2014,6,south,14.68666667
2014,7,north,8.108451613
2014,7,south,17.10574194
2014,8,north,6.077870968
2014,8,south,18.90796774
2014,9,north,5.219933333
2014,9,south,19.7564
2014,10,north,7.232451613
2014,10,south,19.00280645
2014,11,north,10.1146
2014,11,south,16.38776667
2014,12,north,12.35258065
2014,12,south,11.92829032
2015,1,north,13.60232258
2015,1,south,6.851870968
2015,2,north,14.40064286
2015,2,south,3.798928571
2015,3,north,14.37051613
2015,3,south,4.964258065
2015,4,north,13.89316667
2015,4,south,8.3732
2015,5,north,12.46809677
2015,5,south,11.71612903
2015,6,north,10.8789
2015,6,south,14.4749
2015,7,north,8.377870968
2015,7,south,16.77522581
2015,8,north,5.598741935
2015,8,south,17.74935484
2015,9,north,4.615766667
2015,9,south,18.444
2015,10,north,6.966225806
2015,10,south,18.40925806
2015,11,north,9.846166667
2015,11,south,16.1751
2015,12,north,12.04477419
2015,12,south,10.65522581
2016,1,north,13.45677419
2016,1,south,4.689129032
2016,2,north,14.20272414
2016,2,south,2.789517241
2016,3,north,14.39993548
2016,3,south,4.069032258
2016,4,north,13.68126667
2016,4,south,7.2216
2016,5,north,11.92441935
